"no","part_of_speech","definition","answer"
"1","noun","безопасность","safety"
"2","verb","скрывать","hide continually"
"3","verb","совершить","commit (one-time action)"
"4","noun","крест","cross"
"5","adj.","земной","earthly"
"6","adj.","школьный","school"
"7","verb","замереть","freeze, go still"
"8","adj.","прозрачный","transparent"
"9","verb","подавать","serve (to submit)"
"10","adj.","истинный","true"
"11","noun","кабина","cabin (small room)"
"12","noun","пальто","coat"
"13","noun","восторг","delight"
"14","noun","экономика","economy"
"15","noun","забота","care"
"16","verb","произвести","produce (once)"
"17","verb","дождаться","wait for (once)"
"18","noun","талант","talent"
"19","verb","плыть","swim (swim)"
"20","noun","запись","record"
"21","noun","ведро","bucket"
"22","noun","крестьянин","peasant"
"23","noun","поворот","turn"
"24","noun","подробность","detail"
"25","noun","столб","pillar"
"26","noun","канал","channel"
"27","noun","пассажир","passenger"
"28","verb","выполнить","accomplish"
"29","noun","устройство","device (gadget)"
"30","","благодаря","thanks to"
"31","verb","направиться","head (to a destination)"
"32","noun","влияние","influence"
"33","noun","ракета","rocket"
"34","adj.","гражданский","civil"
"35","verb","шутить","joke (continuously)"
"36","noun","смена","shift"
"37","verb","случаться","happen periodically"
"38","verb","спрятать","hide once"
"39","verb","предстоять","face"
"40","noun","затылок","back of the head"
"41","noun","юг","south"
"42","noun","эпоха","epoch"
"43","noun","товар","commodity"
"44","adj.","проклятый","damned"
"45","noun","ветка","branch"
"46","verb","кормить","feed (someone else)"
"47","verb","продолжаться","continue (situation)"
"48","noun","разведчик","scout"
"49","adv.","отлично","excellent (superb)"
"50","noun","боже","God (exclamation)"
"51","noun","молодость","youth"
"52","verb","отдыхать","rest (ongoing)"
"53","noun","октябрь","October"
"54","adv.","широко","widely"
"55","noun","храм","temple"
"56","verb","сдать","hand in"
"57","num.","шестой","sixth"
"58","verb","жаловаться","complain"
"59","noun","скала","rock"
"60","noun","расчёт","calculation"
"61","verb","решиться","decide (make up one's mind)"
"62","adj.","грозный","dreadful (frightening)"
"63","verb","сделаться","become (be made suddenly)"
"64","noun","обида","offense"
"65","verb","наступать","advance, approach"
"66","verb","скрыться","hide, disappear"
"67","noun","огород","garden (vegetable)"
"68","adv.","насколько","to what extent"
"69","noun","запас","reserve"
"70","noun","особенность","feature (characteristic)"
"71","verb","уезжать","be leaving by vehicle"
"72","verb","заняться","engage in"
"73","noun","шар","ball"
"74","noun","печка","stove"
"75","adv.","неприятно","unpleasantly"
"76","adj.","неприятный","unpleasant"
"77","adj.","могучий","mighty"
"78","adv.","заранее","in advance"
"79","noun","открытие","discovery"
"80","verb","переходить","transition"
"81","noun","орден","order (medal, award)"
"82","verb","попадать","get into"
"83","noun","ботинок","shoe (boot, shoe)"
"84","noun","польза","benefit"
"85","noun","печать","printing"
"86","noun","пот","sweat"
"87","noun","корпус","hull"
"88","noun","склад","warehouse"
